Potential Resistance region,,Region length,Reads mapped to region,reads mapped per kilobase region
gb|M64090|+|0-735|ARO:3000595|ErmT,,735,43,5.85E-05
gb|Z49084|+|311-1184|ARO:3002402|OXY-2-7,,874,51,5.84E-05
gb|NC_000913.3|-|0-1644|ARO:3003952|YojI,,1644,95,5.78E-05
gb|KM087836|+|0-1146|ARO:3002124|CMY-113,,1146,66,5.76E-05
gb|JF780936|+|63-1209|ARO:3002078|CMY-65,,1147,65,5.67E-05
gb|AP009048|-|4153663-4154296|ARO:3000518|CRP,,634,35,5.52E-05
gb|JQ733578|+|1007-2153|ARO:3002094|CMY-81,,1147,63,5.49E-05
gb|JQ733573|+|1027-2173|ARO:3002089|CMY-76,,1147,61,5.32E-05
gb|AB872957|+|0-1146|ARO:3002071|CMY-110,,1146,60,5.24E-05
gb|KM087838|+|0-1146|ARO:3002129|CMY-118,,1146,59,5.15E-05
gb|KM087846|+|0-1146|ARO:3002125|CMY-114,,1146,58,5.06E-05
gb|U00096|+|2368038-2370021|ARO:3002985|arnA,,1984,97,4.89E-05
gb|FN806789.3|+|2693-3518|ARO:3003918|apmA,,825,40,4.85E-05
gb|AY077485|+|183-1056|ARO:3002401|OXY-2-6,,874,42,4.81E-05
gb|D16171|+|382-1042|ARO:3002689|plasmid-encoded,,661,30,4.54E-05
gb|KJ207202|+|548-1694|ARO:3002098|CMY-85,,1147,52,4.53E-05
gb|KM087837|+|0-1146|ARO:3002123|CMY-112,,1146,47,4.10E-05
gb|X74948|+|0-492|ARO:3002688|catS,,492,20,4.07E-05
gb|JQ733576|+|1027-2173|ARO:3002092|CMY-79,,1147,45,3.92E-05
gb|X98831.1|+|361-1555|ARO:3003359|Streptomyces,,1194,46,3.85E-05
gb|JX440352|+|1027-2173|ARO:3002085|CMY-72,,1147,44,3.84E-05
gb|U00096|-|2098446-2099613|ARO:3003577|PmrE,,1168,43,3.68E-05
gb|AB429270|+|14-1160|ARO:3002052|CMY-41,,1147,42,3.66E-05
gb|NC_002695|-|1737553-1737967|ARO:3000676|H-NS,,415,15,3.61E-05
gb|JQ733571|+|1027-2173|ARO:3002062|CMY-51,,1147,39,3.40E-05
gb|JN714478|+|1034-2180|ARO:3002079|CMY-66,,1147,39,3.40E-05
gb|AB107899|+|1007-2153|ARO:3001856|CFE-1,,1146,38,3.32E-05
gb|FN594949|+|25244-27167|ARO:3000556|tet44,,1924,63,3.27E-05
gb|BX664015|-|103017-103833|ARO:3002641|APH(3')-Ia,,817,26,3.18E-05
gb|AJ871866|+|0-873|ARO:3002396|OXY-2-1,,873,27,3.09E-05
gb|U35369|+|6004-6613|ARO:3002950|vanXB,,609,18,2.96E-05
gb|L20800|+|1062-2325|ARO:3000180|tetA(P),,1264,37,2.93E-05
gb|U00096|-|1124117-1125326|ARO:3001216|mdtH,,1210,34,2.81E-05
gb|U00096|+|2367070-2368039|ARO:3003578|PmrF,,970,27,2.78E-05
gb|AF180952|+|1564-2737|ARO:3001816|ACC-2,,1174,32,2.73E-05
gb|U35369|+|3182-4010|ARO:3002964|vanWB,,828,22,2.66E-05
gb|NC_000913.3|+|84367-85312|ARO:3003843|leuO,,945,25,2.65E-05
gb|KC688833|+|0-804|ARO:3002836|lnuB,,804,21,2.61E-05
gb|NC_000913.3|+|0-414|ARO:3002818|msrB,,414,10,2.42E-05
gb|FJ666070|+|0-1194|ARO:3002506|PDC-7,,1194,28,2.35E-05
gb|AY237830|+|0-831|ARO:3001781|OXA-47,,831,19,2.29E-05
gb|FJ785626|+|131-1004|ARO:3002405|OXY-2-10,,873,19,2.18E-05
gb|U35369|+|4006-4978|ARO:3002943|vanHB,,972,20,2.06E-05
gb|M94066|+|1553-1994|ARO:3002549|AAC(6')-Ic,,442,9,2.04E-05
gb|AF473577|+|0-873|ARO:3002397|OXY-2-2,,873,17,1.95E-05
gb|NC_002516|-|779462-780101|ARO:3002679|catB7,,640,12,0.00001875
gb|EU043311|+|0-645|ARO:3002721|QnrB7,,645,12,1.86E-05
gb|EF526508|+|0-645|ARO:3002723|QnrB9,,645,12,1.86E-05
gb|FJ666066|+|0-1194|ARO:3002500|PDC-3,,1194,22,1.84E-05
gb|HM990671|+|5192-6671|ARO:3003112|lsaC,,1480,27,1.82E-05
gb|AY306130|+|0-789|ARO:3001796|OXA-50,,789,14,1.77E-05
gb|Y17714|+|146-1016|ARO:3002399|OXY-2-4,,871,15,1.72E-05
gb|M58515|+|212-872|ARO:3002670|cat,,661,11,1.66E-05
gb|U57969|+|1485-4617|ARO:3000801|MexD,,3133,51,1.63E-05
gb|GU371926|-|50304-51165|ARO:3000903|TEM-33,,862,14,1.62E-05
gb|JX259320|+|0-681|ARO:3002772|QnrB59,,681,11,1.62E-05
gb|JX987101|+|0-681|ARO:3002775|QnrB62,,681,11,1.62E-05
gb|FJ666073|+|0-1194|ARO:3002509|PDC-10,,1194,19,1.59E-05
gb|FJ666064|+|0-1194|ARO:3002498|PDC-2,,1194,19,1.59E-05
gb|EU515251|+|0-1146|ARO:3002051|CMY-40,,1146,18,1.57E-05
gb|FJ666072|+|0-1194|ARO:3002508|PDC-9,,1194,18,1.51E-05
gb|AY743435|+|13-1159|ARO:3002169|MIR-3,,1147,17,1.48E-05
gb|FJ666071|+|0-1194|ARO:3002507|PDC-8,,1194,17,1.42E-05
gb|JN173054|+|36-681|ARO:3002747|QnrB32,,645,9,1.40E-05
gb|KF730650|+|0-645|ARO:3002768|QnrB55,,645,9,1.40E-05
gb|AE004091.2|-|4116187-4119265|ARO:3003693|mexK,,3078,42,1.36E-05
gb|NG_050265|+|0-1061|ARO:3000876|TEM-4,,1061,14,1.32E-05
gb|KM087840|+|0-1146|ARO:3002127|CMY-116,,1146,15,1.31E-05
gb|Z30177|+|348-1224|ARO:3002389|OXY-1-1,,877,11,1.25E-05
gb|U35369|+|2358-3165|ARO:3002956|vanYB,,807,10,1.24E-05
gb|DQ303921|+|0-648|ARO:3002718|QnrB4,,648,8,1.23E-05
gb|U43152|+|93-582|ARO:3002866|dfrD,,490,6,1.22E-05
gb|KM087844|+|0-1146|ARO:3002128|CMY-117,,1146,14,1.22E-05
gb|AJ634602|-|0-861|ARO:3000999|TEM-135,,861,10,1.16E-05
gb|KF526116|+|0-1146|ARO:3002115|CMY-103,,1146,13,1.13E-05
gb|X90856|+|387-1194|ARO:3002645|APH(3')-IIb,,808,9,1.11E-05
gb|FJ666068|+|0-1194|ARO:3002502|PDC-5,,1194,13,1.09E-05
gb|KC580654|+|0-645|ARO:3002777|QnrB65,,645,7,1.09E-05
gb|AE004091.2|+|4903465-4904596|ARO:3003030|mexV,,1131,12,1.06E-05
gb|KM087847|+|0-1140|ARO:3002152|DHA-21,,1140,12,1.05E-05
gb|AF024666|-|2207-2969|ARO:3000596|ErmX,,763,8,1.05E-05
gb|FN645444|+|0-1146|ARO:3002061|CMY-50,,1146,12,1.05E-05
gb|U57969|+|294-1458|ARO:3000800|MexC,,1165,12,1.03E-05
gb|NC_002516|+|476332-477790|ARO:3000379|OprM,,1459,15,1.03E-05
gb|DQ303919|+|0-681|ARO:3002719|QnrB5,,681,7,1.03E-05
gb|FJ666065|+|0-1194|ARO:3002497|PDC-1,,1194,12,1.01E-05
gb|FJ666067|+|0-1194|ARO:3002501|PDC-4,,1194,12,1.01E-05
gb|JX560992|+|12925-13729|ARO:3000275|linB,,805,8,9.94E-06
gb|AY524276|+|0-1137|ARO:3002494|SRT-2,,1137,11,9.67E-06
gb|EU269034|-|1479-2223|ARO:3002667|rmtD,,745,7,9.40E-06
gb|FJ611948|+|0-645|ARO:3002736|QnrB21,,645,6,9.30E-06
gb|HQ172108|+|0-645|ARO:3002740|QnrB25,,645,6,9.30E-06
gb|EU043312|+|0-645|ARO:3002722|QnrB8,,645,6,9.30E-06
gb|JN173060|+|2306-2951|ARO:3002753|QnrB38,,646,6,9.29E-06
gb|JN173057|+|2306-2951|ARO:3002750|QnrB35,,646,6,9.29E-06
gb|AB734055|+|376-1021|ARO:3002773|QnrB60,,646,6,9.29E-06
gb|AY055205|+|181-1054|ARO:3002403|OXY-2-8,,873,8,9.16E-06
gb|AJ871871|+|0-873|ARO:3002412|OXY-5-2,,873,8,9.16E-06
gb|KJ911020|+|111-987|ARO:3001975|CTX-M-115,,877,8,9.12E-06
gb|AB015853|+|1330-4471|ARO:3003033|mexY,,3142,28,8.91E-06
gb|EF394371|+|0-1146|ARO:3002046|CMY-35,,1146,10,8.73E-06
gb|HE819404|+|0-1146|ARO:3002103|CMY-90,,1146,10,8.73E-06
gb|FN594949|+|27481-28339|ARO:3002629|ANT(6)-Ib,,859,7,8.15E-06
gb|AY077482|+|161-1037|ARO:3002391|OXY-1-3,,876,7,7.99E-06
gb|Y17715|+|146-1022|ARO:3002394|OXY-1-6,,877,7,7.98E-06
gb|AB699171|+|0-1143|ARO:3002100|CMY-87,,1143,9,7.87E-06
gb|KF515536|+|0-1146|ARO:3001828|ACT-23,,1146,9,7.85E-06
gb|X53797|+|133-775|ARO:3002684|catII,,643,5,7.78E-06
gb|FJ666069|+|0-1194|ARO:3002505|PDC-6,,1194,9,7.54E-06
gb|AY082011|+|3848-4265|ARO:3002957|vanYD,,418,3,7.18E-06
gb|FJ785625|+|131-1001|ARO:3002404|OXY-2-9,,870,6,6.90E-06
gb|AY077488|+|161-1031|ARO:3002398|OXY-2-3,,871,6,6.89E-06
gb|AY077483|+|182-1055|ARO:3002392|OXY-1-4,,874,6,6.86E-06
gb|AJ871865|+|0-876|ARO:3002390|OXY-1-2,,876,6,6.85E-06
gb|NC_002516|+|2808742-2809987|ARO:3000803|MexE,,1246,8,6.42E-06
gb|NC_002516.2|-|4119269-4120373|ARO:3003692|mexJ,,1104,7,6.34E-06
gb|AB008454|+|153-1290|ARO:3002493|SRT-1,,1137,7,6.16E-06
gb|HG798963|+|0-1140|ARO:3002143|DHA-12,,1140,7,6.14E-06
gb|NC_002516|+|2813193-2814612|ARO:3000805|OprN,,1420,8,5.63E-06
gb|NC_002516.2|-|1472546-1473980|ARO:3004077|PmpM,,1434,8,5.58E-06
gb|KM087861|+|0-1146|ARO:3002181|MIR-16,,1146,6,5.24E-06
gb|AM076977|+|0-1146|ARO:3001822|ACT-2,,1146,6,5.24E-06
gb|NC_002516.2|+|4904646-4907703|ARO:3003031|mexW,,3057,16,5.23E-06
gb|U58495|+|27-1173|ARO:3001821|ACT-1,,1147,6,5.23E-06
gb|L22689|+|261-1035|ARO:3000593|ErmQ,,775,4,5.16E-06
gb|EF488762|+|0-645|ARO:3002715|QnrB2,,645,3,4.65E-06
gb|KC580659|+|0-645|ARO:3002782|QnrB70,,645,3,4.65E-06
gb|KC741443|+|0-645|ARO:3002784|QnrB72,,645,3,4.65E-06
gb|HE820727|+|586-1231|ARO:3002767|QnrB54,,646,3,4.64E-06
gb|NC_005000|+|17463-18111|ARO:3002670|cat,,649,3,4.62E-06
gb|AM982521|+|1911-2787|ARO:3001938|CTX-M-77,,876,4,4.57E-06
gb|FN813245|+|1911-2787|ARO:3001955|CTX-M-95,,876,4,4.57E-06
gb|AM982520|+|5548-6424|ARO:3001937|CTX-M-76,,877,4,4.56E-06
gb|JN166689|+|0-660|ARO:3002755|QnrB40,,660,3,4.55E-06
gb|DQ390458|-|3095-3995|ARO:3002609|aadA9,,901,4,4.44E-06
gb|AF180958|+|0-1131|ARO:3001817|ACC-3,,1131,5,4.42E-06
gb|JQ582718|+|0-681|ARO:3002764|QnrB49,,681,3,4.41E-06
gb|AB379831|+|0-681|ARO:3002735|QnrB20,,681,3,4.41E-06
gb|AB300358|+|0-1146|ARO:3002037|CMY-26,,1146,5,4.36E-06
gb|JX440354|+|756-1902|ARO:3001836|ACT-14,,1147,5,4.36E-06
